Наименование;Цена;Цена без скидки;Страна производитель;Размеры;Состав;Изображения;Ссылка
НАВОЛОЧКА DELUXE 50*70;2 100 ТГ.;-;"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""57C14E415518F472456160597FD866A5_element_1469"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""57C14E415518F472456160597FD866A5_element_1470"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""57C14E415518F472456160597FD866A5_element_1471"")>";['https://tamish.kz/image/cache/catalog/Navolochki/0U0A9355-444x400.jpg'];http://tamish.kz/tovari-uslugi/navolochka?product_id=867
"НАМАТРАСНИК ""БАМБУК"" 160Х200";20 300 ТГ.;35 900 тг.;"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""94663097442B3A2B5D7C6DE2D79738EF_element_1675"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""94663097442B3A2B5D7C6DE2D79738EF_element_1676"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""94663097442B3A2B5D7C6DE2D79738EF_element_1677"")>";['https://tamish.kz/image/cache/catalog/9997-444x400.jpg'];http://tamish.kz/tovari-uslugi/namatrasnuik?product_id=827
ЗИМНЕЕ ОДЕЯЛО БАБОЧКА 1,5СП(160*220);20 930 ТГ.;29 900 тг.;"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""06B518356AFB23C1D5DF141C9D6C6A4F_element_1911"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""06B518356AFB23C1D5DF141C9D6C6A4F_element_1912"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""06B518356AFB23C1D5DF141C9D6C6A4F_element_1913"")>";['https://tamish.kz/image/cache/catalog/size/photo_5436152918890888919_y-444x400.jpg', 'https://tamish.kz/image/cache/catalog/slaid/photo_5391094185060318744_y-444x400.jpg'];http://tamish.kz/tovari-uslugi/odejala?product_id=1023
"ПЛЕД ""АВСТРАЛИЯ"" 1,5СП 150*200";7 500 ТГ.;-;"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""3FB6484148EAF747B452ABE9D3194BA9_element_2038"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""3FB6484148EAF747B452ABE9D3194BA9_element_2039"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""3FB6484148EAF747B452ABE9D3194BA9_element_2040"")>";['https://tamish.kz/image/cache/catalog/slaid/2019-08-09%2017.08.37-444x400.JPG'];http://tamish.kz/tovari-uslugi/pled?product_id=1009
"ДЕТСКАЯ ПОДУШКА ""ХЛОПОК"" 40*60";9 600 ТГ.;-;"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""0F8384D04B1EA8A0F6244B02A9CD3FEA_element_2134"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""0F8384D04B1EA8A0F6244B02A9CD3FEA_element_2135"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""0F8384D04B1EA8A0F6244B02A9CD3FEA_element_2136"")>";['https://tamish.kz/image/cache/catalog/color/photo_5211079341042154768_m-444x400.jpg', 'https://tamish.kz/image/cache/catalog/color/photo_5211079341042154767_y-444x400.jpg'];http://tamish.kz/index.php?route=product/product&product_id=1037
КОРОБКА ПРЕМИУМ;200 ТГ.;-;"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""7D8A29DDD0AFABDE67EC98D44326066A_element_2285"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""7D8A29DDD0AFABDE67EC98D44326066A_element_2286"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""7D8A29DDD0AFABDE67EC98D44326066A_element_2287"")>";['https://tamish.kz/image/cache/catalog/IMG_7939-444x400.jpg'];http://tamish.kz/tovari-uslugi/podarochnie-nabori/podarochnie-koropki/korobka_premium
ПОДОДЕЯЛЬНИК DELUXE 1,5 СП.;15 700 ТГ.;-;"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""4AA8C8349EFAE2E2DCD5C8C9226CE93D_element_2419"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""4AA8C8349EFAE2E2DCD5C8C9226CE93D_element_2420"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""4AA8C8349EFAE2E2DCD5C8C9226CE93D_element_2421"")>";['https://tamish.kz/image/cache/catalog/slaid/2019-10-23%2012.48.27%20%281%29-444x400.JPG'];http://tamish.kz/tovari-uslugi/pododeyalnik?product_id=859
ПОДУШКА COOL С ОХЛАЖДАЮЩИМ ЭФФЕКТОМ;33 200 ТГ.;-;"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""8B3E259F0C1C7B95AC8365B23F34FB68_element_2499"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""4AA8C8349EFAE2E2DCD5C8C9226CE93D_element_2420"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""4AA8C8349EFAE2E2DCD5C8C9226CE93D_element_2421"")>";['https://tamish.kz/image/cache/catalog/Navolochki/2021-12-14%2014.16.25-444x400.JPG'];http://tamish.kz/index.php?route=product/product&path=186_170_188&product_id=702
"ДЕТСКАЯ ПОДУШКА ""ХЛОПОК"" 40*60";9 600 ТГ.;-;"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""E29CF70E854D7B223C75D5F1FA7FB10D_element_2598"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""E29CF70E854D7B223C75D5F1FA7FB10D_element_2599"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""E29CF70E854D7B223C75D5F1FA7FB10D_element_2600"")>";['https://tamish.kz/image/cache/catalog/color/photo_5211079341042154768_m-444x400.jpg', 'https://tamish.kz/image/cache/catalog/color/photo_5211079341042154767_y-444x400.jpg'];http://tamish.kz/index.php?route=product/product&product_id=1037
ПОКРЫВАЛО ГОБЕЛЕН ЭЛИТ 170Х240;10 300 ТГ.;-;"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""40CE3AE7419B97056FAE2928BBDAAA69_element_2744"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""40CE3AE7419B97056FAE2928BBDAAA69_element_2745"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""40CE3AE7419B97056FAE2928BBDAAA69_element_2746"")>";['https://tamish.kz/image/cache/catalog/new%20/Page_00038-444x400.jpg', 'https://tamish.kz/image/cache/catalog/new%20/photo5285361569225617242-444x400.jpg', 'https://tamish.kz/image/cache/catalog/new%20/photo5287250178014818875-444x400.jpg', 'https://tamish.kz/image/cache/catalog/new%20/photo5285361569225617237-444x400.jpg', 'https://tamish.kz/image/cache/catalog/new%20/photo5287250178014818873-444x400.jpg'];http://tamish.kz/tovari-uslugi/pokrivalo?product_id=798
КАЗАН VICALINA 26СМ. 6 Л(VL-0126);16 600 ТГ.;-;"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""A4D4AD3DAF210B0F05E53DBF34C412E0_element_2876"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""A4D4AD3DAF210B0F05E53DBF34C412E0_element_2877"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""A4D4AD3DAF210B0F05E53DBF34C412E0_element_2878"")>";['https://tamish.kz/image/cache/catalog/new%20/%20vicalina%206%D0%BB%20%28Vl-0126%29%2C-444x400.JPG', 'https://tamish.kz/image/cache/catalog/new%20/%20vicalina%206%D0%BB%20%28Vl-0126%29.-444x400.JPG', 'https://tamish.kz/image/cache/catalog/new%20/%20vicalina%206%D0%BB%20%28Vl-0126%29.-444x400.JPG'];http://tamish.kz/tovari-uslugi/posuda?product_id=801
ОПТОВЫЙ ПОШИВ ПОДУШЕК НА ЗАКАЗ;0 ТГ.;-;"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""54A3B929530113F9EAEF33B7BCF50820_element_2956"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""54A3B929530113F9EAEF33B7BCF50820_element_2957"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""54A3B929530113F9EAEF33B7BCF50820_element_2958"")>";['https://tamish.kz/image/cache/catalog/podushka-swanlake-_-l-444x400.jpg'];http://tamish.kz/tovari-uslugi/poshiv-postelnogo-belya?product_id=731
ПРОСТЫНЯ DELUXE (180*250СМ) 1,5 СП.;7 100 ТГ.;-;"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""5F8BA62642537154F5E1B665E78603B9_element_3157"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""5F8BA62642537154F5E1B665E78603B9_element_3158"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""5F8BA62642537154F5E1B665E78603B9_element_3159"")>";[''];http://tamish.kz/tovari-uslugi/prostinja?product_id=845
"ДЕТСКАЯ ПОДУШКА ""ХЛОПОК"" 40*60";9 600 ТГ.;-;"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""54451DCC35D1BFD643664F4010BDA5F0_element_3260"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""54451DCC35D1BFD643664F4010BDA5F0_element_3261"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""54451DCC35D1BFD643664F4010BDA5F0_element_3262"")>";['https://tamish.kz/image/cache/catalog/color/photo_5211079341042154768_m-444x400.jpg', 'https://tamish.kz/image/cache/catalog/color/photo_5211079341042154767_y-444x400.jpg'];http://tamish.kz/index.php?route=product/product&product_id=1037
"ДЕТСКАЯ ПОДУШКА ""ХЛОПОК"" 40*60";9 600 ТГ.;-;"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""F021C7A0BA432A188DE7D03E67F995B0_element_3357"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""F021C7A0BA432A188DE7D03E67F995B0_element_3358"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""F021C7A0BA432A188DE7D03E67F995B0_element_3359"")>";['https://tamish.kz/image/cache/catalog/color/photo_5211079341042154768_m-444x400.jpg', 'https://tamish.kz/image/cache/catalog/color/photo_5211079341042154767_y-444x400.jpg'];http://tamish.kz/index.php?route=product/product&product_id=1037
"ДЕТСКАЯ ПОДУШКА ""ХЛОПОК"" 40*60";9 600 ТГ.;-;"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""962E800281C1BADF2BDFA44548BED30A_element_3459"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""962E800281C1BADF2BDFA44548BED30A_element_3460"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""962E800281C1BADF2BDFA44548BED30A_element_3461"")>";['https://tamish.kz/image/cache/catalog/color/photo_5211079341042154768_m-444x400.jpg', 'https://tamish.kz/image/cache/catalog/color/photo_5211079341042154767_y-444x400.jpg'];http://tamish.kz/index.php?route=product/product&product_id=1037
СКАТЕРТЬ OTANTIC 160*220;2 950 ТГ.;5 900 тг.;"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""F7A9F9D431B2874C79449E4347F7E267_element_3572"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""F7A9F9D431B2874C79449E4347F7E267_element_3573"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""F7A9F9D431B2874C79449E4347F7E267_element_3574"")>";['https://tamish.kz/image/cache/catalog/IMG_7583-444x400.jpg'];http://tamish.kz/tovari-uslugi/skatert/ckatert_otantic_160220
ДЕТСКИЙ ХАЛАТ LORI;8 500 ТГ.;13 300 тг.;"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""2CCA4C3229AC70ADA4B431466E41268A_element_3707"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""2CCA4C3229AC70ADA4B431466E41268A_element_3708"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""2CCA4C3229AC70ADA4B431466E41268A_element_3709"")>";['https://tamish.kz/image/cache/catalog/magazin/photo5220220281283525501-444x400.jpg', 'https://tamish.kz/image/cache/catalog/magazin/photo5220233793250638487-444x400.jpg', 'https://tamish.kz/image/cache/catalog/magazin/photo5220220281283525502-444x400.jpg'];http://tamish.kz/tovari-uslugi/chalati?product_id=930
